               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.024797,            0.020958,           0.0065038,              0.6975,             0.68484,             0.70837,             0.51037,            0.029348,            0.014288,            0.025019,           0.0050104,           0.0050104,           0.0050104
                 128,            0.024413,            0.020363,           0.0061978,             0.70682,             0.65986,             0.69654,             0.49956,            0.030407,            0.014571,            0.025593,           0.0049708,           0.0049708,           0.0049708
                 129,            0.024609,            0.021108,           0.0072975,             0.67514,             0.65221,             0.68373,             0.49222,            0.029408,            0.014316,            0.024768,           0.0049312,           0.0049312,           0.0049312
                 130,            0.024106,            0.021428,           0.0068202,             0.67567,             0.66995,             0.68487,             0.49131,            0.029742,            0.014283,             0.02674,           0.0048916,           0.0048916,           0.0048916
                 131,            0.024181,            0.020718,           0.0062279,             0.69308,             0.67913,             0.69214,             0.49949,            0.029705,            0.014475,            0.027881,            0.004852,            0.004852,            0.004852
                 132,            0.024216,             0.02095,           0.0065595,             0.70844,             0.64315,             0.68743,             0.49875,            0.029393,            0.014439,            0.026361,           0.0048124,           0.0048124,           0.0048124
                 133,            0.023759,            0.021103,            0.005251,             0.72153,             0.64044,             0.69839,             0.50551,            0.029232,            0.013782,            0.025836,           0.0047728,           0.0047728,           0.0047728
                 134,            0.023769,            0.020313,           0.0061401,             0.70814,             0.67904,             0.69973,             0.50397,            0.029422,            0.014427,            0.023459,           0.0047332,           0.0047332,           0.0047332
                 135,            0.024448,            0.020111,           0.0060281,             0.72833,             0.65605,             0.69482,             0.50113,            0.028642,            0.014332,            0.024188,           0.0046936,           0.0046936,           0.0046936
                 136,            0.024358,            0.020034,           0.0062623,             0.70947,             0.67209,             0.69945,             0.50487,            0.029746,            0.014415,            0.025607,            0.004654,            0.004654,            0.004654
                 137,            0.023575,            0.020488,           0.0060331,              0.7131,             0.65386,             0.70089,             0.51126,            0.029762,            0.014354,             0.02729,           0.0046144,           0.0046144,           0.0046144
                 138,            0.024007,            0.020763,           0.0058664,             0.72627,             0.65608,             0.69571,             0.50527,            0.028817,            0.014389,            0.027945,           0.0045748,           0.0045748,           0.0045748
                 139,            0.023451,            0.020364,           0.0064801,             0.70905,             0.66913,             0.69733,             0.50668,            0.029594,            0.014329,            0.025465,           0.0045352,           0.0045352,           0.0045352
                 140,            0.023529,            0.020633,            0.005517,             0.70998,             0.64176,             0.69011,              0.5023,            0.029455,            0.014248,            0.026753,           0.0044956,           0.0044956,           0.0044956
                 141,            0.024144,            0.020175,           0.0058996,             0.71555,             0.65211,             0.68872,             0.50293,            0.028865,             0.01427,            0.025919,            0.004456,            0.004456,            0.004456
                 142,            0.023084,             0.01978,           0.0053073,             0.69424,             0.65952,             0.68833,             0.49963,             0.02966,            0.014907,            0.027875,           0.0044164,           0.0044164,           0.0044164
                 143,            0.024018,            0.019942,           0.0057368,             0.71241,             0.65174,             0.69211,             0.50211,            0.029994,            0.014588,            0.026491,           0.0043768,           0.0043768,           0.0043768
                 144,             0.02314,            0.020297,           0.0053106,              0.7035,             0.66663,             0.69501,             0.50187,            0.030118,            0.015082,            0.026802,           0.0043372,           0.0043372,           0.0043372
                 145,            0.023285,            0.019727,           0.0054922,             0.70479,             0.65574,             0.69096,             0.49647,            0.030441,            0.014748,            0.027042,           0.0042976,           0.0042976,           0.0042976
                 146,            0.023949,            0.019998,           0.0057691,             0.71619,             0.65565,             0.69705,             0.50662,            0.029886,            0.014509,            0.026221,            0.004258,            0.004258,            0.004258
                 147,            0.023142,            0.019806,           0.0050454,             0.70169,             0.66511,             0.69392,             0.50578,            0.030094,            0.014813,            0.025591,           0.0042184,           0.0042184,           0.0042184
                 148,            0.023407,            0.020232,           0.0053809,             0.74824,             0.62276,             0.69723,             0.50519,            0.029753,            0.014414,            0.028036,           0.0041788,           0.0041788,           0.0041788
